trade_date,ts_code,open,high,low,close,pre_close,volume,amount,turnover_rate,limit_up,limit_down,is_trading
2025-08-01,600001.SH,11.98,12.1,11.84,11.96,12.0,1200000.0,14352000.0,1.2,13.2,10.8,true
2025-08-01,600002.SH,17.98,18.16,17.77,17.95,18.0,900000.0,16155000.0,0.9,19.8,16.2,true
2025-08-01,000001.SZ,9.47,9.56,9.36,9.45,9.5,1500000.0,14175000.0,1.5,10.45,8.55,true
2025-08-01,600003.SH,4.19,4.23,4.14,4.18,4.2,900000.0,3762000.0,0.9,4.62,3.78,true
2025-08-01,600004.SH,3.79,3.83,3.74,3.78,3.8,900000.0,3402000.0,0.9,4.18,3.42,true
2025-08-01,300001.SZ,27.93,28.21,27.58,27.86,28.0,800000.0,22288000.0,0.8,30.8,25.2,true
2025-08-01,688001.SH,41.89,42.31,41.37,41.79,42.0,800000.0,33432000.0,0.8,46.2,37.8,true
2025-08-01,920001.BJ,8.18,8.26,8.08,8.16,8.2,1300000.0,10608000.0,1.3,9.02,7.38,true
2025-08-01,600005.SH,7.5,7.5,7.5,7.5,7.5,0.0,0.0,,8.25,6.75,false
2025-08-01,600006.SH,5.58,5.64,5.51,5.57,5.6,900000.0,5013000.0,0.9,6.16,5.04,true
2025-08-01,001001.SZ,23.44,23.67,23.15,23.38,23.5,900000.0,21042000.0,0.9,25.85,21.15,true
2025-08-01,603999.SH,71.82,72.54,70.92,71.64,72.0,800.0,57312.0,0.0008,79.2,64.8,true
2025-08-04,600001.SH,11.95,12.07,11.82,11.94,11.96,1200000.0,14328000.0,1.2,13.16,10.76,true
2025-08-04,600002.SH,17.93,18.11,17.73,17.91,17.95,900000.0,16119000.0,0.9,19.75,16.16,true
2025-08-04,000001.SZ,9.43,9.52,9.32,9.41,9.45,1500000.0,14115000.0,1.5,10.39,8.5,true
2025-08-04,600003.SH,4.17,4.21,4.12,4.16,4.18,900000.0,3744000.0,0.9,4.6,3.76,true
2025-08-04,600004.SH,3.77,3.81,3.72,3.76,3.78,900000.0,3384000.0,0.9,4.16,3.4,true
2025-08-04,300001.SZ,27.8,28.08,27.47,27.75,27.86,800000.0,22200000.0,0.8,30.65,25.07,true
2025-08-04,688001.SH,41.7,42.12,41.2,41.62,41.79,800000.0,33296000.0,0.8,45.97,37.61,true
2025-08-04,920001.BJ,8.14,8.22,8.05,8.13,8.16,1300000.0,10569000.0,1.3,8.98,7.34,true
2025-08-04,600005.SH,7.48,7.55,7.4,7.47,7.5,900000.0,6723000.0,0.9,8.25,6.75,true
